"ID","NAME","N_CELLS","AREA_KM2","AREA_ACRES"
-9999,"Land",1310,98439.83,24325012
0,"Water (unsampled)",2122,162053.16,40044208.2
1,"Saint Andrew Bay",11,815.84,201598.7
2,"Saint Joe Bay",7,520.33,128575.9
3,"Turkey Point",28,2085.87,515429.4
4,"Mid Big Bend",53,3946.61,975228.5
5,"Cedar Key",83,6234.24,1540513.4
6,"Tampa Bay",38,2881.11,711936.6
7,"Sarasota Bay",12,915.15,226137.6
8,"Charlotte Harbor",27,2070.39,511605.1
9,"Marco Island",13,1002.49,247721
10,"FWRI",734,55956.25,13827090.4
11,"PASC",154,11739.19,2900817.7
12,"PC",1,74.43,18391.6
13,"FWRI+PASC",242,18334.54,4530564.1
14,"FWRI+PC",235,17542.3,4334796.1
15,"PASC+PC",5,372.63,92077.8
16,"FWRI+PASC+PC",73,5437.38,1343604.6
