Title,GAG_age1_biomass,GAG_SEDAR105_AGE0_FWCNMFS,GAG_SEDAR105_AGE0_CHR,GAG_SEDAR105_AGE0_MBB,GAG_SEDAR105_AGE0_SAR,GAG_SEDAR105_AGE0_TBR,GAG_SEDAR105_AGE0_TPR,GAG_SEDAR105_GFISHER,GAG_age2_biomass,GAG_SEDAR72SRFS_Srv_PC_VIDEO_10,GAG_age3_biomass,GAG_age4_biomass,GAG_SEDAR72SRFS_Rec_HBT_3,GAG_age5_biomass,GAG_SEDAR72SRFS_Srv_CBT_PRIV_7,GAG_age6_biomass,GAG_SEDAR72SRFS_Com_VL_OTH_1,GAG_SEDAR72SRFS_Com_LL_2,GAG_SEDAR72SRFS_Srv_SEAMAP_VIDEO_9,REDGRP_age1_biomass,REDGRP_age2_biomass,REDGRP_SEDAR88_SEAMAP_GF,REDGRP_age3_biomass,REDGRP_age4_biomass,REDGRP_SEDAR88_Rec,REDGRP_age5_biomass,REDGRP_age6_biomass,REDGRP_SEDAR88_comm_LL,REDGRP_SEDAR88_CmbVid,REDGRP_SEDAR88_comm_HL,REDGRP_SEDAR88_NMFS_BLL,recre,commercial reef,shrimp fishery,other,commercial VL gag,commercial LL gag,Rec_HBT_3,Rec_CBT_4,Rec_PRIV_SH_5,commercial HL red,commercial LL red,commercial trap red,rec red,GAG_age6_catch,REDGRP_age6_catch,GAG_dprop_age2_Com_VL_OTH_1,GAG_dprop_age3_Com_VL_OTH_1,GAG_dprop_age4_Com_VL_OTH_1,GAG_dprop_age5_Com_VL_OTH_1,GAG_dprop_age6_Com_VL_OTH_1,GAG_dprop_age2_Com_LL_2,GAG_dprop_age3_Com_LL_2,GAG_dprop_age4_Com_LL_2,GAG_dprop_age5_Com_LL_2,GAG_dprop_age6_Com_LL_2,GAG_dprop_age1_Rec_HBT_3,GAG_dprop_age2_Rec_HBT_3,GAG_dprop_age3_Rec_HBT_3,GAG_dprop_age4_Rec_HBT_3,GAG_dprop_age5_Rec_HBT_3,GAG_dprop_age6_Rec_HBT_3,GAG_dprop_age2_Rec_CBT_4,GAG_dprop_age3_Rec_CBT_4,GAG_dprop_age4_Rec_CBT_4,GAG_dprop_age5_Rec_CBT_4,GAG_dprop_age6_Rec_CBT_4,GAG_dprop_age1_Rec_PRIV_SH_5,GAG_dprop_age2_Rec_PRIV_SH_5,GAG_dprop_age3_Rec_PRIV_SH_5,GAG_dprop_age4_Rec_PRIV_SH_5,GAG_dprop_age5_Rec_PRIV_SH_5,GAG_dprop_age6_Rec_PRIV_SH_5,REDGRP_dprop_age1_comm_HL,REDGRP_dprop_age2_comm_HL,REDGRP_dprop_age3_comm_HL,REDGRP_dprop_age4_comm_HL,REDGRP_dprop_age5_comm_HL,REDGRP_dprop_age6_comm_HL,REDGRP_dprop_age1_comm_LL,REDGRP_dprop_age2_comm_LL,REDGRP_dprop_age3_comm_LL,REDGRP_dprop_age4_comm_LL,REDGRP_dprop_age5_comm_LL,REDGRP_dprop_age6_comm_LL,REDGRP_dprop_age2_commTrap,REDGRP_dprop_age3_commTrap,REDGRP_dprop_age4_commTrap,REDGRP_dprop_age5_commTrap,REDGRP_dprop_age6_commTrap,REDGRP_dprop_age1_Rec,REDGRP_dprop_age2_Rec,REDGRP_dprop_age3_Rec,REDGRP_dprop_age4_Rec,REDGRP_dprop_age5_Rec,REDGRP_dprop_age6_Rec,GAG_dmort_Com_VL_OTH_1,GAG_dmort_Com_LL_2,GAG_dmort_Rec_HBT_3,GAG_dmort_Rec_CBT_4,GAG_dmort_Rec_PRIV_SH_5,REDGRP_dmort_comm_HL,REDGRP_dmort_comm_LL,REDGRP_dmort_commTrap,REDGRP_dmort_Rec,GAG_land_age2_Com_VL_OTH_1,GAG_land_age3_Com_VL_OTH_1,GAG_land_age4_Com_VL_OTH_1,GAG_land_age5_Com_VL_OTH_1,GAG_land_age6_Com_VL_OTH_1,GAG_land_age2_Com_LL_2,GAG_land_age3_Com_LL_2,GAG_land_age4_Com_LL_2,GAG_land_age5_Com_LL_2,GAG_land_age6_Com_LL_2,GAG_land_age1_Rec_HBT_3,GAG_land_age2_Rec_HBT_3,GAG_land_age3_Rec_HBT_3,GAG_land_age4_Rec_HBT_3,GAG_land_age5_Rec_HBT_3,GAG_land_age6_Rec_HBT_3,GAG_land_age2_Rec_CBT_4,GAG_land_age3_Rec_CBT_4,GAG_land_age4_Rec_CBT_4,GAG_land_age5_Rec_CBT_4,GAG_land_age6_Rec_CBT_4,GAG_land_age1_Rec_PRIV_SH_5,GAG_land_age2_Rec_PRIV_SH_5,GAG_land_age3_Rec_PRIV_SH_5,GAG_land_age4_Rec_PRIV_SH_5,GAG_land_age5_Rec_PRIV_SH_5,GAG_land_age6_Rec_PRIV_SH_5,REDGRP_land_age1_comm_HL,REDGRP_land_age2_comm_HL,REDGRP_land_age3_comm_HL,REDGRP_land_age4_comm_HL,REDGRP_land_age5_comm_HL,REDGRP_land_age6_comm_HL,REDGRP_land_age1_comm_LL,REDGRP_land_age2_comm_LL,REDGRP_land_age3_comm_LL,REDGRP_land_age4_comm_LL,REDGRP_land_age5_comm_LL,REDGRP_land_age6_comm_LL,REDGRP_land_age2_commTrap,REDGRP_land_age3_commTrap,REDGRP_land_age4_commTrap,REDGRP_land_age5_commTrap,REDGRP_land_age6_commTrap,REDGRP_land_age1_Rec,REDGRP_land_age2_Rec,REDGRP_land_age3_Rec,REDGRP_land_age4_Rec,REDGRP_land_age5_Rec,REDGRP_land_age6_Rec,GAG_disc_age2_Com_VL_OTH_1,GAG_disc_age3_Com_VL_OTH_1,GAG_disc_age4_Com_VL_OTH_1,GAG_disc_age5_Com_VL_OTH_1,GAG_disc_age6_Com_VL_OTH_1,GAG_disc_age2_Com_LL_2,GAG_disc_age3_Com_LL_2,GAG_disc_age4_Com_LL_2,GAG_disc_age5_Com_LL_2,GAG_disc_age6_Com_LL_2,GAG_disc_age1_Rec_HBT_3,GAG_disc_age2_Rec_HBT_3,GAG_disc_age3_Rec_HBT_3,GAG_disc_age4_Rec_HBT_3,GAG_disc_age5_Rec_HBT_3,GAG_disc_age6_Rec_HBT_3,GAG_disc_age2_Rec_CBT_4,GAG_disc_age3_Rec_CBT_4,GAG_disc_age4_Rec_CBT_4,GAG_disc_age5_Rec_CBT_4,GAG_disc_age6_Rec_CBT_4,GAG_disc_age1_Rec_PRIV_SH_5,GAG_disc_age2_Rec_PRIV_SH_5,GAG_disc_age3_Rec_PRIV_SH_5,GAG_disc_age4_Rec_PRIV_SH_5,GAG_disc_age5_Rec_PRIV_SH_5,GAG_disc_age6_Rec_PRIV_SH_5,REDGRP_disc_age1_comm_HL,REDGRP_disc_age2_comm_HL,REDGRP_disc_age3_comm_HL,REDGRP_disc_age4_comm_HL,REDGRP_disc_age5_comm_HL,REDGRP_disc_age6_comm_HL,REDGRP_disc_age1_comm_LL,REDGRP_disc_age2_comm_LL,REDGRP_disc_age3_comm_LL,REDGRP_disc_age4_comm_LL,REDGRP_disc_age5_comm_LL,REDGRP_disc_age6_comm_LL,REDGRP_disc_age2_commTrap,REDGRP_disc_age3_commTrap,REDGRP_disc_age4_commTrap,REDGRP_disc_age5_commTrap,REDGRP_disc_age6_commTrap,REDGRP_disc_age1_Rec,REDGRP_disc_age2_Rec,REDGRP_disc_age3_Rec,REDGRP_disc_age4_Rec,REDGRP_disc_age5_Rec,REDGRP_disc_age6_Rec,GAG_age6_disctot,REDGRP_age6_disctot,GAG_age1_disctot_rel,GAG_age2_disctot_rel,GAG_age3_disctot_rel,GAG_age4_disctot_rel,GAG_age5_disctot_rel,REDGRP_age1_disctot_rel,REDGRP_age2_disctot_rel,REDGRP_age3_disctot_rel,REDGRP_age4_disctot_rel,REDGRP_age5_disctot_rel,Pelagic_piscivores_SSrelCatch,Snappers_SSrelCatch,GAG_age1_catch,GAG_age2_catch,GAG_age3_catch,GAG_age4_catch,GAG_age5_catch,REDGRP_age1_relCatch,REDGRP_age2_relCatch,REDGRP_age3_relCatch,REDGRP_age4_relCatch,REDGRP_age5_relCatch,Large_reef_fish_SSrelCatch,GAG_age1_F,GAG_age2_F,GAG_age3_F,GAG_age4_F,GAG_age5_F,GAG_age6_F,REDGRP_age1_F,REDGRP_age2_F,REDGRP_age3_F,REDGRP_age4_F,REDGRP_age5_F,REDGRP_age6_F
Weight,0,4.64890358,5.610867653,3.030894156,2.761225919,6.374780299,5.466749874,6.209139239,0,1.34,0,0,3.45,0,1.38,0,1.72,1.89,2.32,0,0,2.96,0,0,3.81,0,0,1.61,3.33,3.33,9.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pool code 1,4,4,4,4,4,4,4,"5,6,7,8,9",5,"5,6,7,8,9",6,7,"5,6,7,8,9",8,"5,6,7,8,9",9,"8,9",9,"8,9",10,11,11,12,13,13,14,15,15,15,15,15,1,2,3,4,5,6,7,8,9,10,11,12,13,9,15,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,5,6,7,8,9,10,11,12,13,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,9,15,4,5,6,7,8,10,11,12,13,14,2,3,4,5,6,7,8,10,11,12,13,14,16,4,5,6,7,8,9,10,11,12,13,14,15
Pool code 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,8,9,5,6,7,8,9,4,5,6,7,8,9,5,6,7,8,9,4,5,6,7,8,9,10,11,12,13,14,15,10,11,12,13,14,15,11,12,13,14,15,10,11,12,13,14,15,0,0,0,0,0,0,0,0,0,5,6,7,8,9,5,6,7,8,9,4,5,6,7,8,9,5,6,7,8,9,4,5,6,7,8,9,10,11,12,13,14,15,10,11,12,13,14,15,11,12,13,14,15,10,11,12,13,14,15,5,6,7,8,9,5,6,7,8,9,4,5,6,7,8,9,5,6,7,8,9,4,5,6,7,8,9,10,11,12,13,14,15,10,11,12,13,14,15,11,12,13,14,15,10,11,12,13,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,20,20,20,20,20,20,20,20,20,20,61,61,61,61,61,61,61,61,61,61,61,61,61,104,104,104,104,104,104,104,104,104,104,104,104
Region,0,0,8,4,1,6,3,"10,13,14,16",0,"12,14,15,16",0,0,0,0,0,0,0,0,"11,13,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0.001398578,,,,,,,,0.003705405,,0.006236258,0.005499685,,0.009854891,,0.026303066,,,,NA,NA,,NA,NA,,NA,NA,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00518194,NA,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0.049,0.049,0.049,0.049,0.049,0.049,0.079,0.079,0.079,0.079,0.079,0.069,0.069,0.069,0.069,0.069,0.069,0,0,0,0,0,0,2.60E-05,2.60E-05,2.60E-05,2.60E-05,2.60E-05,2.60E-05,4.33E-05,4.33E-05,4.33E-05,4.33E-05,4.33E-05,2.33E-01,0.232595583,0.232595583,2.33E-01,2.33E-01,0.232595583,0.33,0.34,0.14,0.14,0.14,0.2,0.67,0.07,0.13,2.27E-06,2.54E-05,7.50E-05,0.000280718,0.001622452,4.56E-08,9.45E-07,5.38E-06,3.95E-05,0.000751305,1.18E-07,2.67E-05,0.000142566,0.00018823,0.000369552,0.000601908,4.14E-05,0.000264229,0.000391164,0.000828995,0.00142326,2.60E-05,2.61E-04,0.000736113,0.000740335,0.001335892,0.001586278,,,,,,,,,,,,,,,,,,,,,,,,5.61E-08,6.27E-07,1.85E-06,6.93E-06,4.01E-05,,,,,,6.05E-09,1.37E-06,7.30E-06,9.61E-06,1.89E-05,3.08E-05,3.55E-06,2.26E-05,3.34E-05,7.10E-05,1.22E-04,1.94E-06,1.94E-05,5.49E-05,5.51E-05,9.94E-05,1.18E-04,,,,,,,,,,,,,,,,,,,,,,,,0.000175014,,9.77E-07,1.32E-05,4.79E-05,5.68E-05,0.00011112,,,,,,0.015010604,0.005161224,9.26E-06,0.000149984,0.000621937,0.00083732,0.001873283,NA,NA,NA,NA,NA,0.015127224,0.006620954,0.040476999,0.09972923,0.152248772,0.190086644,0.197008957,0.000079635,0.000873864,0.009299335,0.048507248,0.106703469,0.15907224
1986,0.00057704,,,,,,,,0.004484676,,0.004972705,0.006597111,1.52852,0.005011641,1.70443,0.028104177,,,,0.001781938,0.011361307,,0.015313186,0.017914004,0.981011,0.018583367,0.092390963,,,,,0.887333333,1.08901805,0.6979887,1,0.698270536,1.479838984,0.362605425,2.550085853,1.470756755,1,1,1,1,0.006688942,0.015535323,0.016,0.016,0.016,0.016,0.016,0,0,0,0,0,0.072,0.072,0.072,0.072,0.072,0.072,0.073,0.073,0.073,0.073,0.073,0.13,0.129,0.13,0.129,0.129,0.129,0,0,0,0,0,0,2.60E-05,2.60E-05,2.60E-05,2.60E-05,2.60E-05,2.60E-05,4.33E-05,4.33E-05,4.33E-05,4.33E-05,4.33E-05,2.33E-01,0.232595583,0.232595583,2.33E-01,2.33E-01,0.232595583,0.33,0.33,0.14,0.14,0.14,0.2,0.67,0.07,0.13,2.78E-06,2.05E-05,9.12E-05,0.000144727,0.001700639,6.57E-08,8.96E-07,7.69E-06,2.39E-05,0.000894119,2.32E-08,1.53E-05,5.40E-05,1.07E-04,8.95E-05,0.000321417,8.97E-05,0.000377843,0.000842365,0.000757119,0.002865959,6.11E-06,0.000180065,0.000335223,0.000507724,0.000388545,0.001063472,3.23E-10,9.24E-08,2.93E-06,4.08E-05,0.000255794,5.24E-03,1.20E-07,2.76E-06,1.36E-05,5.64E-05,0.000183521,0.00360701,3.26E-06,2.86E-05,1.02E-04,0.000193234,0.00121647,6.48E-09,4.11E-06,0.000101173,6.86E-04,1.40E-03,0.005260794,4.47E-08,3.28E-07,1.47E-06,2.33E-06,2.74E-05,,,,,,1.80E-09,1.19E-06,4.20E-06,8.35E-06,6.95E-06,2.50E-05,7.07E-06,2.98E-05,6.65E-05,5.98E-05,0.000226159,9.09E-07,2.67E-05,4.99E-05,7.55E-05,5.77E-05,1.58E-04,,,,,,,3.11E-12,7.18E-11,3.55E-10,1.47E-09,4.77E-09,9.37E-08,1.41E-10,1.24E-09,4.44E-09,8.37E-09,5.27E-08,1.96E-09,1.25E-06,3.07E-05,2.08E-04,4.25E-04,0.001594515,0.00030573,0.001594843,5.73E-07,2.32E-05,5.77E-05,0.000105756,8.88E-05,1.97E-09,1.25E-06,3.07E-05,0.0002078,0.000424738,0.015010604,0.005466711,5.63E-06,0.000271941,0.00075926,0.0015155,0.001374274,1.27E-07,1.04E-05,0.000150344,0.000912577,0.002089555,0.015127224,0.009748564,0.060637899,0.152685535,0.229721686,0.274216354,0.238005247,7.11E-05,0.000913969,0.00981794,0.050942108,0.112442214,0.168147646
1987,0.000822208,,,,,,,,0.001860287,,0.006107982,0.005350596,1.5882,0.00610718,0.360349,0.0259258,,,,0.001772315,0.009837149,,0.015330651,0.018030112,1.85645,0.018753416,0.090760771,,,,,1.1105,1.2656305,0.6657327,1,0.553999215,2.018291968,0.289490274,0.788184591,1.386095268,0.816406905,1.517058069,0.638062397,0.571739094,0.003970982,0.013369438,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0.061,0.061,0.061,0.061,0.061,0.061,0.099,0.098,0.099,0.098,0.099,0.116,0.115,0.116,0.115,0.116,0.116,0,0,0,0,0,0,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,2.33E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,2.34E-01,2.34E-01,0.234203831,2.34E-01,2.34E-01,0.234203831,0.33,0.34,0.14,0.14,0.14,0.25,0.75,0.11,0.13,7.67E-07,1.67E-05,4.91E-05,0.00011683,0.001074969,2.73E-08,1.10E-06,6.22E-06,2.91E-05,0.000877235,2.15E-08,4.14E-06,4.32E-05,5.66E-05,7.07E-05,0.000183835,1.79E-05,0.000223631,0.000328665,0.000443434,0.001215513,1.08E-05,9.26E-05,0.000509386,0.000508598,0.000584253,0.001109031,2.62E-10,6.53E-08,2.39E-06,3.35E-05,0.00021044,4.20E-03,1.81E-07,3.63E-06,2.07E-05,8.62E-05,0.000280852,0.005363016,1.79E-06,1.82E-05,6.54E-05,0.000123612,0.0007583,3.64E-09,2.01E-06,5.72E-05,3.90E-04,7.98E-04,0.002934868,1.29E-08,2.81E-07,8.26E-07,1.97E-06,1.81E-05,,,,,,1.39E-09,2.68E-07,2.80E-06,3.67E-06,4.57E-06,1.19E-05,1.96E-06,2.44E-05,3.60E-05,4.83E-05,1.33E-04,1.41E-06,1.21E-05,6.65E-05,6.63E-05,7.63E-05,1.45E-04,,,,,,,4.20E-12,8.45E-11,4.82E-10,2.01E-09,6.53E-09,1.25E-07,7.95E-11,8.06E-10,2.91E-09,5.49E-09,3.37E-08,1.11E-09,6.15E-07,1.75E-05,1.19E-04,2.44E-04,0.000897572,0.00012232,0.000897876,6.22E-07,6.14E-06,3.91E-05,4.35E-05,5.29E-05,1.12E-09,6.15E-07,1.75E-05,0.000119205,0.000244178,0.008220939,0.006220658,7.66E-06,8.18E-05,0.00056589,0.00068996,0.000936539,1.85E-07,7.58E-06,0.000100809,0.000590513,0.001445296,0.02114734,0.009316142,0.043990365,0.092647664,0.128950055,0.15335043,0.153167191,0.000104205,0.000770261,0.006575627,0.032751494,0.077068393,0.147304144
1988,0.00051815,,,,,,,,0.002653022,,0.002556466,0.00676994,1.30641,0.005209436,0.494639,0.026598458,,,,0.001769858,0.009783546,,0.013247723,0.017853725,1.42013,0.018612926,0.09052219,,,,,0.8655,1.23897015,0.6051691,1,0.533845397,1.270586119,0.312646217,0.753154918,1.31568116,0.681110621,0.881330036,0.773012229,1.372754413,0.003501579,0.014643316,0.016,0.016,0.016,0.016,0.016,0,0,0,0,0,0.076,0.077,0.077,0.077,0.077,0.077,0.102,0.101,0.101,0.102,0.101,0.114,0.114,0.114,0.114,0.114,0.114,0,0,0,0,0,0,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,2.65E-05,4.15E-05,4.15E-05,4.15E-05,4.15E-05,4.15E-05,2.27E-01,2.27E-01,2.27E-01,2.27E-01,2.27E-01,0.22688089,0.33,0.33,0.14,0.14,0.14,0.23,0.73,0.1,0.13,8.65E-07,5.51E-06,4.89E-05,7.86E-05,0.000869693,2.20E-08,2.60E-07,4.46E-06,1.40E-05,0.000511796,1.16E-08,5.05E-06,1.55E-05,6.12E-05,5.15E-05,0.000159976,2.92E-05,1.07E-04,0.000474131,0.000431214,0.001409174,7.09E-06,1.37E-04,0.000221989,0.000669991,0.000518816,0.001168703,2.15E-10,5.34E-08,1.70E-06,2.73E-05,0.000171924,3.44E-03,1.03E-07,2.07E-06,1.03E-05,4.90E-05,0.00016011,0.003063252,2.13E-06,1.88E-05,7.75E-05,0.000146949,0.000906035,8.62E-09,4.74E-06,1.17E-04,9.15E-04,1.88E-03,0.006965668,1.41E-08,8.99E-08,7.98E-07,1.28E-06,1.42E-05,,,,,,9.60E-10,4.20E-07,1.28E-06,5.08E-06,4.28E-06,1.33E-05,3.30E-06,1.20E-05,5.35E-05,4.87E-05,1.59E-04,9.10E-07,1.77E-05,2.86E-05,8.60E-05,6.66E-05,1.50E-04,,,,,,,2.74E-12,5.49E-11,2.72E-10,1.30E-09,4.24E-09,8.11E-08,8.83E-11,7.78E-10,3.21E-09,6.09E-09,3.76E-08,2.53E-09,1.39E-06,3.44E-05,2.68E-04,5.52E-04,0.002044157,0.000110111,0.002044403,3.67E-07,8.11E-06,1.50E-05,4.99E-05,4.07E-05,2.53E-09,1.39E-06,3.44E-05,0.000268471,0.000551573,0.00883062,0.00591929,4.73E-06,0.000114301,0.000231172,0.000845641,0.000762517,1.13E-07,9.17E-06,0.000152408,0.001103863,0.002430844,0.011636725,0.00913172,0.043083366,0.090426299,0.124911152,0.146372281,0.13164594,6.36E-05,0.000937362,0.011504437,0.061828143,0.1305998,0.161764929
1989,0.002163482,,,,,,,,0.001668071,,0.003619081,0.002798321,1.15366,0.006483324,0.31899,0.026009664,,,,0.001764521,0.009766275,,0.013095283,0.014871009,1.66829,0.01691567,0.082526039,,,,,1.156,1.1114709,0.5299024,1,0.864090387,1.402637709,0.781759388,0.807510802,1.244423107,1.343053393,1.413095172,0.920523456,3.198405293,0.004511518,0.027199875,0.042,0.012,0.04,0.013,0.022,0,0,0,0,0,0.144,0.144,0.144,0.144,0.144,0.144,0.16,0.161,0.161,0.161,0.16,0.129,0.129,0.129,0.129,0.129,0.129,0,0,0,0,0,0,2.08E-05,2.08E-05,2.08E-05,2.08E-05,2.08E-05,2.08E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,2.26E-01,2.26E-01,2.26E-01,2.26E-01,2.26E-01,0.225677038,0.33,0.33,0.14,0.14,0.14,0.14,1,0.2,0.13,7.28E-07,1.05E-05,2.73E-05,0.000131892,0.001160124,1.18E-08,3.14E-07,1.57E-06,1.49E-05,0.000438703,8.36E-08,5.49E-06,3.78E-05,4.37E-05,0.000110991,0.000264597,1.61E-05,1.32E-04,0.000171547,0.000469928,0.00117862,3.54E-05,1.03E-04,0.000376052,0.000331538,0.00077327,0.001309395,4.21E-10,1.05E-07,3.30E-06,4.48E-05,0.000308832,0.006214727,1.64E-07,3.29E-06,1.62E-05,6.51E-05,0.000233034,0.004503058,2.54E-06,2.22E-05,7.74E-05,0.000160691,0.000992197,2.03E-08,1.12E-05,2.74E-04,1.81E-03,4.07E-03,0.014919176,3.17E-08,1.26E-07,1.14E-06,1.77E-06,2.58E-05,,,,,,1.41E-08,9.25E-07,6.36E-06,7.37E-06,1.87E-05,4.46E-05,3.07E-06,2.53E-05,3.28E-05,8.99E-05,2.25E-04,5.24E-06,1.53E-05,5.57E-05,4.92E-05,1.15E-04,1.94E-04,1.73E-14,4.30E-12,1.36E-10,1.84E-09,1.27E-08,,3.42E-12,6.85E-11,3.37E-10,1.36E-09,4.85E-09,9.38E-08,9.66E-11,8.44E-10,2.94E-09,6.11E-09,3.77E-08,5.93E-09,3.26E-06,7.99E-05,5.27E-04,1.19E-03,0.004348205,0.000150263,0.004348592,2.35E-06,7.76E-06,3.18E-05,3.06E-05,7.45E-05,5.93E-09,3.26E-06,7.99E-05,0.000526918,0.001185503,0.012666606,0.006802719,2.01E-05,8.01E-05,0.000386641,0.000428162,0.001189519,1.86E-07,1.76E-05,0.000326328,0.002064343,0.004925639,0.011632756,0.009306883,0.048047393,0.106833915,0.153006743,0.183473639,0.173455452,0.000105232,0.001797054,0.024919515,0.138816609,0.291187933,0.329591428
